Authors,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,DOI,Publisher,Author Keywords,Title,Affiliations,Source Title,ISBN,Funding Information,Link,Citation Count,References,Conference Date,Identifier,combined_text
J. Harvey; S. Kumar; S. Bao,2020,,,1356.0,1362.0,"Multi-modal approach machine learning techniques have been used to examine Hurricane Michael's physical sensor data of cloud cover temperature and social media data from Twitter to help stakeholders and government agencies consider the societal implications of hurricane impacts more thoroughly and understand how to plan for mitigating future storms as these disasters become more frequent. Data were obtained from Twitter and NOAA on Hurricane Michael and used to evaluate the relationship between the social sentiment and the physical data during severe weather events. Of all the classification methods employed in this study to evaluate sentiment, the naive Bayes classifier results showed the highest accuracy. Models of natural language processing have been developed to explain sentiment data. Future events prediction models have been tested to improve extreme weather events emergency management. The findings demonstrate that natural language processing and machine learning techniques, using Twitter data, are practical methods of sentiment analysis. This research carried out a social media sentiment analysis that could be used by emergency managers, government officials and decision-makers to make informed emergency response decisions.",,10.1109/SSCI47803.2020.9308366,IEEE,a rtificial intelligence;Bayes methods;boosting;classification;correlation;hurricanes;machine learning;support vector machines,"Machine Learning-Based Models for Assessing Physical and Social Impacts Before, During and After Hurricane Michael","Department of Computing Sciences, Coastal Carolina University, Conway, SC; Department of EECS, Cleveland State University, Cleveland, OH; Department of Coastal and Marine System Sciences, Coastal Carolina University, Conway, SC",2020 IEEE Symposium Series on Computational Intelligence (SSCI),978-1-7281-2547-3,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9308366,1.0,35.0,,IEEE Conferences,"Machine Learning-Based Models for Assessing Physical and Social Impacts Before, During and After Hurricane Michael Multi-modal approach machine learning techniques have been used to examine Hurricane Michael's physical sensor data of cloud cover temperature and social media data from Twitter to help stakeholders and government agencies consider the societal implications of hurricane impacts more thoroughly and understand how to plan for mitigating future storms as these disasters become more frequent. Data were obtained from Twitter and NOAA on Hurricane Michael and used to evaluate the relationship between the social sentiment and the physical data during severe weather events. Of all the classification methods employed in this study to evaluate sentiment, the naive Bayes classifier results showed the highest accuracy. Models of natural language processing have been developed to explain sentiment data. Future events prediction models have been tested to improve extreme weather events emergency management. The findings demonstrate that natural language processing and machine learning techniques, using Twitter data, are practical methods of sentiment analysis. This research carried out a social media sentiment analysis that could be used by emergency managers, government officials and decision-makers to make informed emergency response decisions. 2020"
H. Wang; Z. Qu; Q. Zhou; H. Zhang; B. Luo; W. Xu; S. Guo; R. Li,2022,9,2.0,939.0,963.0,"The ever-growing artificial intelligence (AI) applications have greatly reshaped our world in many areas, e.g., smart home, computer vision, natural language processing, etc. Behind these applications are usually machine learning (ML) models with extremely large size, which require huge data sets for accurate training to mine the value contained in the big data. Large ML models, however, can consume tremendous computing resources to achieve decent performance and thus, it is difficult to train them in resource-constrained Internet of Things (IoT) environments, which would prevent further development and application of AI techniques in the future. To deal with such challenges, there are many efforts on accelerating the training process for large ML models in IoT. In this article, we provide a comprehensive review on the recent advances toward reducing the computing cost during the training stage while maintaining comparable model accuracy. Specifically, the optimization algorithms that aim to improve the convergence rate are emphasized over various distributed learning architectures that exploit ubiquitous computing resources. Then, the article elaborates the computation hardware acceleration and communication optimization for collaborative training among multiple learning entities. Finally, the remaining challenges, future opportunities, and possible directions are discussed.",2327-4662,10.1109/JIOT.2021.3111624,IEEE,Distributed machine learning (ML);hardware-aided acceleration;large model training;training acceleration,A Comprehensive Survey on Training Acceleration for Large Machine Learning Models in IoT,"School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Key Laboratory of Water Resources Big Data Technology of Ministry of Water Resources and the School of Computer and Information, Hohai University, Nanjing, China; Department of Computing, The Hong Kong Polytechnic University, Hong Kong; School of Physics, University of Electronic Science and Technology of China, Chengdu, China; Department of Computing, The Hong Kong Polytechnic University, Hong Kong; Department of Computing, The Hong Kong Polytechnic University, Hong Kong; Department of Computing, The Hong Kong Polytechnic University, Hong Kong; School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China",IEEE Internet of Things Journal,,"National Key Research and Development Program of China(grant numbers:2016YFB0800402); Hong Kong RGC Research Impact Fund (RIF)(grant numbers:R5060-19); General Research Fund (GRF)(grant numbers:152221/19E,15220320/20E); Collaborative Research Fund (CRF)(grant numbers:C5026-18G); National Natural Science Foundation of China(grant numbers:61872310,U1836204,U1936108); Major Projects of the National Social Science Foundation(grant numbers:16ZDA092); Shenzhen Science and Technology Innovation Commission(grant numbers:R2020A045); Fundamental Research Funds for the Central Universities(grant numbers:200202176,210202079); China Postdoctoral Science Foundation(grant numbers:2019M661709); Research Grants Council of the Hong Kong Special Administrative Region, China(grant numbers:PolyU15222621); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9534784,31.0,256.0,,IEEE Journals,"A Comprehensive Survey on Training Acceleration for Large Machine Learning Models in IoT The ever-growing artificial intelligence (AI) applications have greatly reshaped our world in many areas, e.g., smart home, computer vision, natural language processing, etc. Behind these applications are usually machine learning (ML) models with extremely large size, which require huge data sets for accurate training to mine the value contained in the big data. Large ML models, however, can consume tremendous computing resources to achieve decent performance and thus, it is difficult to train them in resource-constrained Internet of Things (IoT) environments, which would prevent further development and application of AI techniques in the future. To deal with such challenges, there are many efforts on accelerating the training process for large ML models in IoT. In this article, we provide a comprehensive review on the recent advances toward reducing the computing cost during the training stage while maintaining comparable model accuracy. Specifically, the optimization algorithms that aim to improve the convergence rate are emphasized over various distributed learning architectures that exploit ubiquitous computing resources. Then, the article elaborates the computation hardware acceleration and communication optimization for collaborative training among multiple learning entities. Finally, the remaining challenges, future opportunities, and possible directions are discussed. 2022"
M. A. Syaefudin; R. Sarno; K. R. Sungkono; A. T. Haryono; A. F. Septiyanto; A. Alfarisy,2025,,,455.0,460.0,"Indonesia, which is located in the equatorial region with two seasons, the rainy and dry seasons, is challenging for weather forecasting because of significant changes in weather due to atmospheric disturbances. Previous experiments on weather event classification provided main class related to weather (sunny, cloudy, rainy and extreme). However, in these experiments, we attempted to include class ""other"", which is not related to inclass and weather events, to reflect the real-world dataset of natural language. From these experiments, the dataset from microblogs must be preprocessing, however not only common preprocessing namely stopwords and lowercase. It is important to determine which class has the lowest accuracy. Based on this experiment with 5 class data (sunny, cloudy, rainy, extreme and other), class ""other"" with the lowest accuracy was 0.71, and at the first stage preprocessing achieved an F1 Score of 0.839. Second stage preprocessing was conducted with the addition words ""ibarat"" or ""like"" and ""prakiraan"" or ""forecast"" and the performance model increased accuracy by 8% compared to before with an F1 Score of 0.917. The experiment continued to compare high epoch and small epoch, at small epoch at number of epoch is 2, result of F1 Score by 0.912. High epoch with 200 epochs and early stopping 20 increased accuracy by 0.5% than 2 epochs. Result from experiments, best performance to classify weather events achieved using indobenchmark/indobert-large-p2 with 200 epochs and early stopping 20 with accuracy of 91.7%, precision of 92.0%, recall of 91.7%, and F1 Score by 91.7%.",,10.1109/ICoCSETI63724.2025.11019358,IEEE,weather events;classification;IndoBERT and IndoRoBERTa;small epoch,Weather Event Classification based on Microblog Data using Bidirectional Encoder Representations from Transformer Models,"Department of Informatics, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Department of Informatics, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Department of Informatics, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Department of Informatics, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Department of Informatics, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Juanda Meteorological Station, Badan Meteorologi Klimatologi dan Geofisika, Sidoarjo, Indonesia","2025 International Conference on Computer Sciences, Engineering, and Technology Innovation (ICoCSETI)",979-8-3315-0861-6,Institut Teknologi Sepuluh Nopember; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11019358,,19.0,,IEEE Conferences,"Weather Event Classification based on Microblog Data using Bidirectional Encoder Representations from Transformer Models Indonesia, which is located in the equatorial region with two seasons, the rainy and dry seasons, is challenging for weather forecasting because of significant changes in weather due to atmospheric disturbances. Previous experiments on weather event classification provided main class related to weather (sunny, cloudy, rainy and extreme). However, in these experiments, we attempted to include class ""other"", which is not related to inclass and weather events, to reflect the real-world dataset of natural language. From these experiments, the dataset from microblogs must be preprocessing, however not only common preprocessing namely stopwords and lowercase. It is important to determine which class has the lowest accuracy. Based on this experiment with 5 class data (sunny, cloudy, rainy, extreme and other), class ""other"" with the lowest accuracy was 0.71, and at the first stage preprocessing achieved an F1 Score of 0.839. Second stage preprocessing was conducted with the addition words ""ibarat"" or ""like"" and ""prakiraan"" or ""forecast"" and the performance model increased accuracy by 8% compared to before with an F1 Score of 0.917. The experiment continued to compare high epoch and small epoch, at small epoch at number of epoch is 2, result of F1 Score by 0.912. High epoch with 200 epochs and early stopping 20 increased accuracy by 0.5% than 2 epochs. Result from experiments, best performance to classify weather events achieved using indobenchmark/indobert-large-p2 with 200 epochs and early stopping 20 with accuracy of 91.7%, precision of 92.0%, recall of 91.7%, and F1 Score by 91.7%. 2025"
O. Ibikunle; D. Varshney; J. Li; M. Rahnemoonfar; J. Paden,2023,,,8162.0,8165.0,"This paper details the preliminary efforts of applying the deep learning transformer architecture to automatically track annual layer stratigraphy in echogram images obtained from mapping near-surface ice layers using airborne radars. Following the success of the transformer architecture in the natural language processing and computer vision communities, we explore a variant termed Echogram Vision Transformer (EchoViT) on the radar echogram layer tracking (RELT) problem. The proposed approach divides the echogram images into patches using different schemes inspired by tokenization methods in natural language processing. We then apply a soft-attention mechanism to model interdependencies between the patches, capturing spatiotemporal stratigraphic information. Experiments conducted on the CREED dataset demonstrate the superiority of transformer-based architectures over existing convolutional-based architectures. Furthermore, the EchoViT fast-time and EchoViT slow-time patchifying schemes achieved precise tracking of the layers with submeter MAE of 3.39 and 3.55, respectively, while the use of cropped patches led to suboptimal results.",2153-7003,10.1109/IGARSS52108.2023.10281822,IEEE,deep learning;transformer;soft-attention;ViT;EchoViT,ECHOVIT: Vision Transformers Using Fast-And-Slow Time Embeddings,"Center for Remote Sensing and Integrated Systems (CReSIS), University of Kansas, Lawrence, KS, USA; Department of Information Systems, University of Maryland Baltimore County, Baltimore, MD, USA; Center for Remote Sensing and Integrated Systems (CReSIS), University of Kansas, Lawrence, KS, USA; Department of Computer Science and Engineering, Lehigh University, Bethlehem, PA, USA; Center for Remote Sensing and Integrated Systems (CReSIS), University of Kansas, Lawrence, KS, USA",IGARSS 2023 - 2023 IEEE International Geoscience and Remote Sensing Symposium,979-8-3503-2010-7,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10281822,1.0,10.0,,IEEE Conferences,"ECHOVIT: Vision Transformers Using Fast-And-Slow Time Embeddings This paper details the preliminary efforts of applying the deep learning transformer architecture to automatically track annual layer stratigraphy in echogram images obtained from mapping near-surface ice layers using airborne radars. Following the success of the transformer architecture in the natural language processing and computer vision communities, we explore a variant termed Echogram Vision Transformer (EchoViT) on the radar echogram layer tracking (RELT) problem. The proposed approach divides the echogram images into patches using different schemes inspired by tokenization methods in natural language processing. We then apply a soft-attention mechanism to model interdependencies between the patches, capturing spatiotemporal stratigraphic information. Experiments conducted on the CREED dataset demonstrate the superiority of transformer-based architectures over existing convolutional-based architectures. Furthermore, the EchoViT fast-time and EchoViT slow-time patchifying schemes achieved precise tracking of the layers with submeter MAE of 3.39 and 3.55, respectively, while the use of cropped patches led to suboptimal results. 2023"
M. A. Arshad; T. Z. Jubery; T. Roy; R. Nassiri; A. K. Singh; A. Singh; C. Hegde; B. Ganapathysubramanian; A. Balu; A. Krishnamurthy; S. Sarkar,2025,,,6320.0,6329.0,"As Vision Language Models (VLMs) become increasingly accessible to farmers and agricultural experts, there is a growing need to evaluate their potential in specialized tasks. We present AgEval, a comprehensive benchmark for assessing VLMs' capabilities in plant stress phenotyping, offering a solution to the challenge of limited annotated data in agriculture. Our study explores how general-purpose VLMs can be leveraged for domain-specific tasks with only a few annotated examples, providing insights into their behavior and adaptability. AgEval encompasses 12 diverse plant stress phenotyping tasks, evaluating zero-shot and few-shot in-context learning performance of state-of-the-art models including Claude, GPT, Gemini, and LLaVA. Our results demonstrate VLMs' rapid adaptability to specialized tasks, with the best-performing model showing an increase in F1 scores from 46.24% to 73.37% in 8-shot identification. To quantify performance disparities across classes, we introduce metrics such as the coefficient of variation (CV), revealing that VLMs' training impacts classes differently, with CV ranging from 26.02% to 58.03%. We also find that strategic example selection enhances model reliability, with exact category examples improving F1 scores by 15.38% on average. AgEval establishes a framework for assessing VLMs in agricultural applications, offering valuable benchmarks for future evaluations. Our findings suggest that VLMs, with minimal few-shot examples, show promise as a viable alternative to traditional specialized models in plant stress phenotyping, while also highlighting areas for further refinement. Results and benchmark details are available at: https://github.com/arbab-ml/AgEval",2642-9381,10.1109/WACV61041.2025.00616,IEEE,few-shot learning;in-context learning;large language models;vision language models;agriculture,Leveraging Vision Language Models for Specialized Agricultural Tasks,"Iowa State University, USA; Iowa State University, USA; Iowa State University, USA; Iowa State University, USA; Iowa State University, USA; Iowa State University, USA; New York University, USA; Iowa State University, USA; Iowa State University, USA; Iowa State University, USA; Iowa State University, USA",2025 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),979-8-3315-1083-1,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10943968,2.0,42.0,,IEEE Conferences,"Leveraging Vision Language Models for Specialized Agricultural Tasks As Vision Language Models (VLMs) become increasingly accessible to farmers and agricultural experts, there is a growing need to evaluate their potential in specialized tasks. We present AgEval, a comprehensive benchmark for assessing VLMs' capabilities in plant stress phenotyping, offering a solution to the challenge of limited annotated data in agriculture. Our study explores how general-purpose VLMs can be leveraged for domain-specific tasks with only a few annotated examples, providing insights into their behavior and adaptability. AgEval encompasses 12 diverse plant stress phenotyping tasks, evaluating zero-shot and few-shot in-context learning performance of state-of-the-art models including Claude, GPT, Gemini, and LLaVA. Our results demonstrate VLMs' rapid adaptability to specialized tasks, with the best-performing model showing an increase in F1 scores from 46.24% to 73.37% in 8-shot identification. To quantify performance disparities across classes, we introduce metrics such as the coefficient of variation (CV), revealing that VLMs' training impacts classes differently, with CV ranging from 26.02% to 58.03%. We also find that strategic example selection enhances model reliability, with exact category examples improving F1 scores by 15.38% on average. AgEval establishes a framework for assessing VLMs in agricultural applications, offering valuable benchmarks for future evaluations. Our findings suggest that VLMs, with minimal few-shot examples, show promise as a viable alternative to traditional specialized models in plant stress phenotyping, while also highlighting areas for further refinement. Results and benchmark details are available at: https://github.com/arbab-ml/AgEval 2025"
J. M. Cecilia; J. -C. Cano; C. T. Calafate; P. Manzoni; C. Periñán-Pascual; F. Arcas-Túnez; A. Muñoz-Ortega,2021,10,6.0,89.0,96.0,"Floods are expected to increase in the coming years due to global warming. The early identification of water-based disasters can be lifesaving, and the challenge is to identify appropriate and timely warning measures. Social-media tools such as Twitter provide citizens with a real-time communication channel for reporting problems related to our environment, which allows humans to act as social sensors. In this article, we show the main results and lessons learned from the research project WATERoT, funded by the Spanish government. In this project, we designed a social sensing application (called WATERSensing) for the prevention and evaluation of water-related disasters with the participation of individuals through social networks. This tool crawls microtexts from different social networks such as Twitter, RSS feeds, or Telegram, which are analyzed with natural language processing techniques. A case study of Storm Gloria, a Mediterranean storm that heavily affected eastern Spain in January 2020, is presented to evidence that the system can correlate data from social media with actual events. We demonstrate that the analysis of different sources of information opens up new opportunities in the development of warning systems for the prevention, early identification, and management of natural disasters.",2162-2256,10.1109/MCE.2021.3063703,IEEE,,WATERSensing: A Smart Warning System for Natural Disasters in Spain,"Universitat Politècnica de València, Spain; Universitat Politècnica de València, Spain; Universitat Politècnica de València, Spain; Universitat Politècnica de València, Spain; Universitat Politècnica de València, Spain; Universidad Católica de Murcia, Spain; Universidad Católica de Murcia, Spain",IEEE Consumer Electronics Magazine,,"Spanish Ministry of Science and Innovation(grant numbers:RYC2018-025580-I,RTI2018-096384-B-I00,RTC-2017-6389-5,RTC2019-007159-5); Fundación Séneca del Centro de Coordinación de la Investigación de la Región de Murcia(grant numbers:20813/PI/18); European Union's Horizon 2020 Research and Innovation Programme(grant numbers:101017861); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9368989,8.0,14.0,,IEEE Magazines,"WATERSensing: A Smart Warning System for Natural Disasters in Spain Floods are expected to increase in the coming years due to global warming. The early identification of water-based disasters can be lifesaving, and the challenge is to identify appropriate and timely warning measures. Social-media tools such as Twitter provide citizens with a real-time communication channel for reporting problems related to our environment, which allows humans to act as social sensors. In this article, we show the main results and lessons learned from the research project WATERoT, funded by the Spanish government. In this project, we designed a social sensing application (called WATERSensing) for the prevention and evaluation of water-related disasters with the participation of individuals through social networks. This tool crawls microtexts from different social networks such as Twitter, RSS feeds, or Telegram, which are analyzed with natural language processing techniques. A case study of Storm Gloria, a Mediterranean storm that heavily affected eastern Spain in January 2020, is presented to evidence that the system can correlate data from social media with actual events. We demonstrate that the analysis of different sources of information opens up new opportunities in the development of warning systems for the prevention, early identification, and management of natural disasters. 2021"
R. Renugadevi; T. Vyshnavi; T. P. Reddy; P. S. Lahari,2023,,,1.0,5.0,"As a result of lifestyle choices, industry, and growing urbanisation, pollution in the atmosphere has spread throughout the world and is now a serious threat to human existence. One of the air contaminants, particulate matter, is known to contribute to a variety of illnesses, including cardiovascular and respiratory diseases. To safeguard people from the negative impacts of air pollution in advance, accurate assessment of air pollution concentrations is required. A variety of variables influence air pollution, including weather conditions and the concentration of other contaminants in urban areas. The purpose is to diagnose machine learning-based solutions for predicting air pollution findings as accurately as possible. The dataset is analysed using the supervised machine learning approach (SMLT), which collects a wide range of data, including variable identification and results from univariate, bivariate, and multivariate analyses. We compare and evaluate the performance measures of several machine learning methods on the provided pollution dataset using evaluation approaches.",,10.1109/RMKMATE59243.2023.10369180,IEEE,SMLT;Random Forest;Univariate analysis;Bi-variate analysis;Multivariate analysis,Air Quality Prediction using Random Forest algorithm,"Dept of Computer Science and Engineering, R.M.K Engineering College An Autonomous Institution, Thiruvallur, India; Dept of Computer Science and Engineering, R.M.K Engineering College An Autonomous Institution, Thiruvallur, India; Dept of Computer Science and Engineering, R.M.K Engineering College An Autonomous Institution, Thiruvallur, India; Dept of Computer Science and Engineering, R.M.K Engineering College An Autonomous Institution, Thiruvallur, India","2023 International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)",979-8-3503-0570-8,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10369180,1.0,17.0,,IEEE Conferences,"Air Quality Prediction using Random Forest algorithm As a result of lifestyle choices, industry, and growing urbanisation, pollution in the atmosphere has spread throughout the world and is now a serious threat to human existence. One of the air contaminants, particulate matter, is known to contribute to a variety of illnesses, including cardiovascular and respiratory diseases. To safeguard people from the negative impacts of air pollution in advance, accurate assessment of air pollution concentrations is required. A variety of variables influence air pollution, including weather conditions and the concentration of other contaminants in urban areas. The purpose is to diagnose machine learning-based solutions for predicting air pollution findings as accurately as possible. The dataset is analysed using the supervised machine learning approach (SMLT), which collects a wide range of data, including variable identification and results from univariate, bivariate, and multivariate analyses. We compare and evaluate the performance measures of several machine learning methods on the provided pollution dataset using evaluation approaches. 2023"
E. Sun,2024,,,63.0,68.0,"Advancements in autonomous vehicle research have significantly enhanced the performance of object detection and motion planning models, bringing us closer to achieving fully autonomous vehicles. These improvements are largely driven by extensive datasets and innovative model architectures. However, these models continue to struggle with edge-case conditions such as storms, snow, or fog. Addressing these challenges requires di-versified training data that encompasses a wide range of weather conditions. Unfortunately, current methods rely on the manual curation of such datasets, which is both costly and labor-intensive. To tackle this issue, we introduce CondDG (Conditional-Diffusion Data Generation), a novel synthetic data generation technique that leverages the latest advancements in conditional diffusion models to augment datasets with diverse and extreme weather conditions. Our system employs instruction-tuned latent diffusion models and high-quality GPT-40-mini crafted text prompts to generate hyperrealistic synthetic images based on existing annotations, ensuring that the generated data maintains the original image structure. Importantly, our technique operates without the need for human input and enhances bounding box detection in adverse weather conditions. We demonstrate the effectiveness of our approach by balancing data from the BDD100K dataset. Additionally, we show that datasets balanced using our technique outperform unbalanced datasets in terms of detection performance on YOLOv8 by 3–11% across different weather conditions and improve average model confidence by over 13%.",,10.1109/ICCR64365.2024.10927434,IEEE,Machine Vision;Autonomous Driving;Diffusion Models;Deep Learning,CondDG: Enhancing Autonomous Navigation in Adverse Weather with Conditional Diffusion Synthetic Data,"Department of Computer Science, University of California, Los Angeles, Los Angeles, United States",2024 6th International Conference on Control and Robotics (ICCR),979-8-3315-1815-8,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10927434,,19.0,,IEEE Conferences,"CondDG: Enhancing Autonomous Navigation in Adverse Weather with Conditional Diffusion Synthetic Data Advancements in autonomous vehicle research have significantly enhanced the performance of object detection and motion planning models, bringing us closer to achieving fully autonomous vehicles. These improvements are largely driven by extensive datasets and innovative model architectures. However, these models continue to struggle with edge-case conditions such as storms, snow, or fog. Addressing these challenges requires di-versified training data that encompasses a wide range of weather conditions. Unfortunately, current methods rely on the manual curation of such datasets, which is both costly and labor-intensive. To tackle this issue, we introduce CondDG (Conditional-Diffusion Data Generation), a novel synthetic data generation technique that leverages the latest advancements in conditional diffusion models to augment datasets with diverse and extreme weather conditions. Our system employs instruction-tuned latent diffusion models and high-quality GPT-40-mini crafted text prompts to generate hyperrealistic synthetic images based on existing annotations, ensuring that the generated data maintains the original image structure. Importantly, our technique operates without the need for human input and enhances bounding box detection in adverse weather conditions. We demonstrate the effectiveness of our approach by balancing data from the BDD100K dataset. Additionally, we show that datasets balanced using our technique outperform unbalanced datasets in terms of detection performance on YOLOv8 by 3–11% across different weather conditions and improve average model confidence by over 13%. 2024"
R. Sajja; V. Pursnani; Y. Sermet; I. Demir,2025,13,,42401.0,42413.0,"Floodplain management is critical for mitigating flood risks and safeguarding communities. The FloodPlain Manager (FPM) certification is essential for professionals in this field, but current preparation methods often fall short in providing comprehensive, accessible, and engaging study resources. This research introduces a novel AI-assisted educational tool designed specifically for FPM certification preparation and training process. Leveraging advanced natural language processing and machine learning techniques, this tool offers personalized learning experiences, interactive question-and-answer sessions, and real-time feedback to aspiring floodplain managers. The system architecture integrates certification-specific content through a sophisticated document parsing process, ensuring relevance and accuracy. Evaluation of the tool, conducted through text similarity analysis, demonstrates its effectiveness in preparing candidates for the FPM certification exam. With 91.7% accuracy for open-ended questions and 95.12% for multiple-choice questions, the tool offers a personalized learning experience through dynamic flashcards and adaptive quizzes, highlighting its potential to enhance vocational training and exam readiness. This study underscores the transformative role of AI in professional education and suggests future directions for expanding the tool’s capabilities and application to other certifications.",2169-3536,10.1109/ACCESS.2025.3548591,IEEE,Artificial intelligence (AI);educational technology;personalized learning;vocational training;adaptive learning;professional certification,AI-Assisted Educational Framework for Floodplain Manager Certification: Enhancing Vocational Education and Training Through Personalized Learning,"Department of Electrical and Computer Engineering, University of Iowa, Iowa City, IA, USA; IIHR Hydroscience and Engineering, University of Iowa, Iowa City, IA, USA; IIHR Hydroscience and Engineering, University of Iowa, Iowa City, IA, USA; River-Coastal Science and Engineering, Tulane University, New Orleans, LA, USA",IEEE Access,,National Oceanic and Atmospheric Administration (NOAA) via a Cooperative Agreement with the University of Alabama awarded to the Cooperative Institute for Research to Operations in Hydrology (CIROH)(grant numbers:NA22NWS4320003); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10912484,5.0,52.0,,IEEE Journals,"AI-Assisted Educational Framework for Floodplain Manager Certification: Enhancing Vocational Education and Training Through Personalized Learning Floodplain management is critical for mitigating flood risks and safeguarding communities. The FloodPlain Manager (FPM) certification is essential for professionals in this field, but current preparation methods often fall short in providing comprehensive, accessible, and engaging study resources. This research introduces a novel AI-assisted educational tool designed specifically for FPM certification preparation and training process. Leveraging advanced natural language processing and machine learning techniques, this tool offers personalized learning experiences, interactive question-and-answer sessions, and real-time feedback to aspiring floodplain managers. The system architecture integrates certification-specific content through a sophisticated document parsing process, ensuring relevance and accuracy. Evaluation of the tool, conducted through text similarity analysis, demonstrates its effectiveness in preparing candidates for the FPM certification exam. With 91.7% accuracy for open-ended questions and 95.12% for multiple-choice questions, the tool offers a personalized learning experience through dynamic flashcards and adaptive quizzes, highlighting its potential to enhance vocational training and exam readiness. This study underscores the transformative role of AI in professional education and suggests future directions for expanding the tool’s capabilities and application to other certifications. 2025"
C. F. Gulay; A. C. Fajardo,2023,,,7.0,11.0,"Time series prediction, speech recognition, natural language processing, and other sequence-based applications have all shown the benefits of using Long Short-Term Memory (LSTM) networks. Nevertheless, LSTM models frequently encounter irrelevant input in numerous real-world applications, which lowers prediction accuracy. To improve prediction accuracy, we suggest a novel modification to the LSTM algorithm in this research study. This modification involves dynamically unlearning irrelevant data and relearning relevant data during training. By introducing a mechanism to recognize and adjust the weight of training data, our technique helps the model focus more on relevant data while reducing the impact of irrelevant data. We demonstrate significant improvements in prediction accuracy across a range of tasks and datasets as we illustrate the effectiveness of our improved LSTM.",2771-6600,10.1109/AGERS61027.2023.10490639,IEEE,Long Short-Term Memory Modification;Ph level;Relearning;Soil Quality;Temperature;Rainfall;Unlearning,Performance Enhancement of Long Short-Term Memory Through Unlearning-Relearning Soil Quality Parameters Data,"Technological Institute of the Philippine, Quiapo Manila, Philippines; Isabela State University Cauayan City, Isabela, Philippines","2023 IEEE Asia-Pacific Conference on Geoscience, Electronics and Remote Sensing Technology (AGERS)",979-8-3503-9484-9,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10490639,1.0,13.0,,IEEE Conferences,"Performance Enhancement of Long Short-Term Memory Through Unlearning-Relearning Soil Quality Parameters Data Time series prediction, speech recognition, natural language processing, and other sequence-based applications have all shown the benefits of using Long Short-Term Memory (LSTM) networks. Nevertheless, LSTM models frequently encounter irrelevant input in numerous real-world applications, which lowers prediction accuracy. To improve prediction accuracy, we suggest a novel modification to the LSTM algorithm in this research study. This modification involves dynamically unlearning irrelevant data and relearning relevant data during training. By introducing a mechanism to recognize and adjust the weight of training data, our technique helps the model focus more on relevant data while reducing the impact of irrelevant data. We demonstrate significant improvements in prediction accuracy across a range of tasks and datasets as we illustrate the effectiveness of our improved LSTM. 2023"
